state,x,y
Daanbantayan,94,274
Medellin,78,253
Bogo,78,224
Madridejos,-87,303
Bantayan,-107,270
Santa Fe,-39,238
San Remigio,-21,206
Tabogon,86,183
Tabuelan,-73,172
Borbon,73,151
Sogod,69,111
San Francisco,136,129
Poro,169,35
Tudela,226,51
Pilar,210,146
Tuburan,-72,119
Asturias,-93,69
Catmon,72,83
Carmen,66,60
Danao,78,38
Compostela,92,16
Liloan,81,-1
Consolacion,79,-13
Balamban,-96,31
Toledo,-120,3
Pinamungajan,-153,-35
Mandaue,101,-26
Lapu-Lapu,89,-51
Cordova,39,-73
Talisay,20,-85
Minglanilia,7,-99
Naga,-34,-90
San Fernando,-23,-116
Carcar,-35,-133
Sibonga,-42,-153
Argao,-67,-180
Dalaguete,-92,-226
Alcoy,-104,-252
Boljoon,-112,-273
Oslob,-124,-318
Santander,-153,-350
Samboan,-235,-317
Ginatilan,-239,-290
Malabuyoc,-239,-263
Allegria,-206,-221
Badian,-203,-189
Moalboal,-215,-164
Alcantara,-226,-142
Ronda,-220,-118
Dumanjog,-181,-101
Barili,-157,-82
Aloguinsan,-164,-59

